ID,Question,Expected Answer
12,"سؤال فقهي:

ما هو حكم التطهُّر بفضل الرجل أو المرأة في الفقه الإسلامي، وما هي الأدلة التي استندت إليها المذاهب الفقهية الأربعة في هذا الحكم؟",الفرع الأول: حُكم التطهُّرِ بفَضل ِالرَّجليجوز التطهُّرُ بفَضلِ الرَّجُلالمراد به: الماءُ الذي فَضَل عن الطهارة، كما لو توضَّأ شخصٌ من إناءٍ، وبقِيَ فيه ماءٌ.، وهذا باتِّفاقِ المَذاهِبِ الفِقهيَّةِ الأربَعةِ: الحنفيَّة((المبسوط)) للسرخسي (1/109)، ((شرح معاني الآثار)) للطحاوي (1/26).، والمالكيَّة((مواهب الجليل)) للحطاب (1/52)، ((الشرح الكبير)) للدردير (1/35).، والشافعية((المجموع)) للنووي (2/190)، وينظر: ((الحاوي الكبير)) للماوردي (1/229).، والحنابلة((الإنصاف)) للمرداوي (1/50)، وينظر: ((شرح الزركش...
13,"**السؤال:**

إذا كان شخصٌ يشكُّ في نجاسة ماءٍ، وقد تيقَّنَ طهارته، فما الحكم الفقهي في استخدام هذا الماء؟ وما هو الأصل الذي يُبنى عليه في هذه الحالة؟ 

**الإجابة:**

يجوز استخدام الماء إذا تيقَّنَ طهارته وشكَّ في نجاسته، وذلك لأن الأصل هو بقاء الماء على الطهارة.",مَن شكَّيُطلِق الفُقهاءُ الشَّك: بمعنى التردُّدِ بين وجود الشيء وعَدَمِه، سواء كان الطرفان في التردُّدِ سواءً، أو كان أحدهما راجحًا. أمَّا أصحاب الأصول: ففرَّقوا بينهما، فقالوا: التردُّد بين الطرفين إنْ كان على السَّواء فهو الشكُّ، وإلَّا فالراجِحُ ظنٌّ، والمرجوح وهمٌ. ((المجموع)) للنووي (1/168، 169).في نجاسة ماءٍ أو طَهارَتِه، فإنَّه يبني على الأصلِ؛ فإذا تيقَّنَ طهارةَ الماءِ وشكَّ في نجاسَتِه، جاز استخدامُه؛ إذِ الأصلُ بقاؤه على الطَّهارة، وإن تيقَّنَ نجاسَتَه وشكَّ في طهارَتِه، فلا يَستعمِله...
14,"**السؤال:** إذا اشتبه على شخص ماء طهور بماء نجس، فما هو الواجب عليه فعله وفقًا لمذهب الشافعية؟ وما هي الحكمة من جواز الوضوء من الماء المشتبه به حتى مع وجود ماء متيقن الطهارة؟ 

**الإجابة:** يجب على الشخص أن يتحرى ويطلب الصواب، ويتطهر بما يغلب على ظنه طهوريته. يجوز له الوضوء من الماء المشتبه، حتى لو كان قادرًا على التطهر من الماء المتيقن، وذلك لأن الشافعية يرون جواز العدول إلى المظنون مع وجود المتيقن، مستندين إلى أن بعض الصحابة رضي الله عنهم كانوا يفعلون ذلك.",من اشتَبهَ عليه ماءٌ طَهورٌ بآخرَ نجِسٌ، فإنَّه يتحرَّىالتحرِّي: هو طَلَبُ الصوابِ، والتفتيشُ عن المقصودِ. ((المجموع)) للنووي (1/169).، ويتطهَّرُ بما يغلبُ على ظنِّه طُهوريَّته، وهذا مَذهَبُ الشافعيَّةبل ذهب الشافعيَّة إلى أكثر من ذلك، وهو جوازُ الوُضوءِ مِن الماء المشتبَه، ولو كان قادرًا على التطهُّرِ مِنَ الماء المتيقَّن كأنْ يكون على شطِّ نهرٍ، أو أن يبلغ الماءُ قُلَّتين بالخَلطِ؛ وعلَّلوا ذلك (جوازَ العُدولِ إلى المظنونِ مع وجود المتيقَّنِ) بأنَّ الصحابةَ رَضِيَ الله تعالى عنهم كان بعضُهم يَ...
15,"**السؤال:**

ما هو حكم خبر الثقة العدل بنجاسة الماء إذا بيَّن سبب النجاسة، وذلك وفقاً للمذاهب الفقهية الأربعة؟ 

**أ) يُقبل خبر الثقة العدل بنجاسة الماء إذا لم يُبيّن سبب النجاسة.**

**ب) يُقبل خبر الثقة العدل بنجاسة الماء إذا بيَّن سبب النجاسة.**

**ج) يُرفض خبر الثقة العدل بنجاسة الماء سواء بيَّن سبب النجاسة أم لا.**

**د) يُقبل خبر الثقة العدل بنجاسة الماء فقط في مذهب الحنفية.**

**الإجابة الصحيحة: ب) يُقبل خبر الثقة العدل بنجاسة الماء إذا بيَّن سبب النجاسة.**",المطلب الأوَّل: حُكمُ خَبرِ الثِّقةِ العَدلِ بنجاسةِ الماء إن بيَّن سببَ ذلكيُقبَل خَبرُ الثِّقةِ العَدلِ بنجاسةِ الماءِ، إنْ بيَّن سببَ النَّجاسةِ، وهذا باتِّفاقِ المَذاهِبِ الفِقهيَّةِ: الحنفيَّة((المبسوط)) للسرخسي (1/82)، وينظر: ((بدائع الصنائع)) للكاساني (1/72)، ((المبسوط)) للشيباني (3/80).، والمالكيَّة((مواهب الجليل)) للحطَّاب (1/120)، وينظر: ((الفواكه الدواني)) للنفراوي (1/361).، والشافعيَّة((المجموع)) للنووي (1/176)، ((مغني المحتاج)) للشربيني (1/28).، والحنابلة((الإنصاف)) للمرداوي (1/62)،...
16,"**السؤال:**

إذا اشتبهت ثيابٌ طاهرةٌ بثيابٍ نجسةٍ أو محرَّمةٍ، كأن يكون الثوب مسروقًا أو مغصوبًا، فما هو الواجب على المسلم في هذه الحالة وفقًا لمذاهب الفقهاء الأربعة؟ 

**أ) يجب عليه ترك الصلاة في أي من الثياب.**

**ب) يتحرَّى ويصلي بإحدى الثياب.**

**ج) يجب عليه غسل الثياب قبل الصلاة.**

**د) يجوز له الصلاة بأي من الثياب دون تحرٍّ.**

**الإجابة الصحيحة: ب) يتحرَّى ويصلي بإحدى الثياب.**",إذا اشتبهت ثيابٌ طاهرةٌ بثيابٍ نجسةٍ أو بثيابٍ محرَّمةٍ، كأن يكون الثَّوبُ مَسروقًا أو مغصوبًا؛ فإنَّه يتحرَّىالتحرِّي: هو طلب الصَّواب، والتفتيش عن المقصود. ((المجموع)) للنووي (1/169).، ويصلِّي بإحداها، وهذا مَذهَبُ الحنفيَّة((المبسوط)) للسرخسي (10/165)، وينظر: ((المبسوط)) للشيباني (3/25).، والشافعيَّة((المجموع)) للنووي (1/181)، وينظر: ((الحاوي الكبير)) للماوردي (1/345).، وهو قولٌ للمالكيَّة((مواهب الجليل)) للحطَّاب (1/232)، وينظر: ((الذخيرة)) للقرافي (1/176).، واختارهابنُ عَقيلٍ الحنبليُّ((الإ...
17,"**السؤال:**

ما هو تعريف الأسآر لغةً واصطلاحًا، وما الفرق بين سُؤر الحيوان الطاهر وسُؤره النجس وفقًا لما ذكره الفقهاء؟ 

**الإجابة:**

- **تعريف الأسآر لغةً:** جمع سُؤر، وهو البقية والفَضلة، كما ورد في القاموس المحيط للفيروزآبادي. 
- **تعريف الأسآر اصطلاحًا:** ما يتبقى في الإناء ونحوه من طعام وشراب، كما ورد في حاشية ابن عابدين والشرح الممتع لابن عثيمين.
- **الفرق بين سُؤر الحيوان الطاهر وسُؤره النجس:** سُؤر الحيوان الطاهر يُعتبر طاهرًا، بينما سُؤر الحيوان النجس يُعتبر نجسًا، وذلك وفقًا لما ذكره النووي بأن مراد الفقهاء بقولهم سُؤر الحيوان طاهر أو نجس هو لُعابه ورطوبة فمه.",الأسآرُ لُغةً:جمع سُؤرٍ، وهو البقيَّةُ والفَضلةُ((القاموس المحيط)) للفيروزآبادي (ص: 403) وقال الأزهريُّ: (يقال: أسأرْتُ سُؤْرًا وسُؤْرة: إذا أبقيْتَها وأفضَلتُها، والسَّائر الباقي؛ وكأنه من سَئر يَسْأَر فهو سائِر، أي: فَضَل) ((تهذيب اللغة)) (13/34).الأسآرُ اصطلاحًا:ما يتبقَّى في الإناءِ ونَحوِه مِن طعامٍ وشَرابٍ((حاشية ابن عابدين)) (1/222)، ((الشرح الممتع)) لابن عثيمين (1/459)، قال النووي: (مرادُ الفُقَهاءِ بقولهم سُؤرُ الحيوانِ طاهرٌ أو نجسٌ: لُعابُه ورطوبةُ فَمِه) ((المجموع)) (1/172)....
18,"**السؤال:**

ما هو حكم سؤر الآدمي في الإسلام، وما هي الآراء المتعلقة بطهارته سواء كان الآدمي مسلمًا أم كافرًا، جنبًا أم حائضًا؟ اذكر بعض الأدلة التي تدعم هذا الحكم.",سؤرُ الآدميِّ طاهرٌ، سواءٌ كان مُسلمًا أم كافرًا، جُنبًا أم حائضًاقال النووي: (قال العلماء: لا تُكرهُ مُضاجعةُ الحائِضِ ولا قُبلتُها ولا الاستمتاعُ بها فيما فوق السُّرَّةِ وتحت الركبة، ولا يكرهُ وضْع يدِها في شيءٍ من المائعات، ولا يُكره غَسلُها رأسَ زوجِها أو غيرِه من محارمِها وترجيلُه، ولا يكره طبخُها وعجنُها، وغيرُ ذلك من الصنائع، وسُؤرُها وعَرَقُها طاهران، وكل هذا متَّفقٌ عليه، وقد نقل الإمام أبو جعفر محمد بن جرير في كتابه في مذاهب العلماء، إجماعَ المسلمينَ على هذا كلِّه، ودلائلُه من السُّنةِ...
19,"**السؤال:** ما هو حكم سُؤر ما يُؤكَل لحمه في الفقه الإسلامي، وما الدليل على ذلك؟

**الإجابة:** سُؤر ما يُؤكَل لحمه طاهرٌ، والدليل على ذلك هو الإجماع بين العلماء، حيث نقل ابن المنذر أن العلماء أجمعوا على أن سُؤر ما أُكِلَ لحمُه طاهرٌ، ويجوز شُربه والوضوء به. كما أن هذا الرأي يُؤيده عدد من الأئمة مثل الثوري، والشافعي، وأحمد، وإسحاق، وهو قول أهل المدينة وأصحاب الرأي من أهل الكوفة.",سُؤرُ ما يُؤكَل لحمُه طاهِرٌ.الدَّليلُ مِنَ الإجماع:نقل الإجماعَ على ذلك: ابنُ المُنذِرقال ابن المُنذِر: (أجمعوا على أنَّ سُؤرَ ما أُكِلَ لحمُه طاهِرٌ، ويجوز شُربُه والوضوءُ به) ((الإجماع)) (ص: 35). وقال أيضًا: (وكلُّ مَن نحفَظُ عنه من أهل العلمِ يرى أنَّ أسآرَ الدوابِّ التي تؤكَلُ لحومُها طاهر، وممَّن حَفَظْنا ذلك عنه الثوري، والشافعي، وأحمد، وإسحاق، وهو قول أهل المدينة، وأصحاب الرأي من أهل الكوفة) ((الإشراف)) (1/160-161).، وابنُ حَزمٍقال ابن حزم: (كل ما يؤكَلُ لحمُه فلا خلافَ في أنَّه طاهِرٌ؛ ...
20,"**السؤال:** ما هو حكم سؤر الكلب والخنزير وفقاً لجمهور الفقهاء، وما هي الآراء المختلفة حول طهارتهما في المذاهب الفقهية الأربعة؟ 

**الإجابة المتوقعة:** 
حكم سؤر الكلب والخنزير هو أنه نجس عند جمهور الفقهاء، حيث اتفق الحنفية والشافعية والحنابلة على ذلك. وقد ذكر الحنفية في كتبهم مثل ""البحر الرائق"" و""المبسوط""، والشافعية في ""روضة الطالبين"" و""الحاوي الكبير"". بينما مال ابن رشد من المالكية إلى استثناء الكلب والخنزير من طهارة آسا ر الحيوان.",الفرع الأول: حُكمُ سُؤرِ الكَلبِ والخِنزيرِسؤرُ الكَلبِ والخِنزيرِ نجسٌ عند جُمهورِ الفُقَهاءِ: الحنفيَّة((البحر الرائق)) لابن نجيم (1/134)، ((المبسوط)) للسرخسي (1/48).والشافعيَّة((روضة الطالبين)) للنووي (1/32)، وينظر: ((الحاوي الكبير)) للماوردي (1/317).والحنابلة((الإنصاف)) للمرداوي (1/224، 248)، ((الشرح الكبير)) لشمس الدين ابن قدامة (1/310).، ومال إليهابنُ رشدٍ الحفيدُ، من المالكيَّةقال ابن رشد: (ولعلَّ الأرجَحَ أن يُستثنى من طهارةِ آسارِ الحيوانِ: الكَلبُ والخِنزيرُ...) ((بداية المجتهد)) (1/30...
21,"**السؤال:**

ما هو حكم سؤر ما لا يُحترز من النجاسات في العادة، مثل الفأرة والدجاجة المخلَّاة غير المنضبطة، وفقًا لآراء المذاهب الفقهية الأربعة؟ مع ذكر الأدلة من المصادر الفقهية. 

**الإجابة:**

يُكرَه سؤر ما لا يُحترز من النجاسات في العادة، مثل الفأرة والدجاجة المخلَّاة غير المنضبطة، وذلك وفقًا للآراء التالية:

1. **الحنفية:** يُكرَه سؤرها كما ورد في ""البحر الرائق"" لابن نجيم و""المبسوط"" للسرخسي.
2. **المالكية:** يُكرَه أيضًا سؤرها، كما جاء في ""الشرح الكبير للدردير وحاشية الدسوقي"" و""شرح مختصر خليل"" للخرشي.
3. **الحنابلة:** يُكرَه سؤرها أيضًا، كما ورد في ""الإنصاف"" للمرداوي و""شرح منتهى الإرادات"" للبُهوتي.

ويستند هذا الحكم إلى أن هذه الحيوانات لا تتحاشى النجاسات، وتفتش في الجيف والأقذار، مما يجعل منقارها لا يخلو من النجاسة.",يُكرَه عند الحنفيَّة((البحر الرائق)) لابن نجيم (1/137)، ((المبسوط)) للسرخسي (1/48).، والمالكيَّة((الشرح الكبير للدردير وحاشية الدسوقي)) (1/44)، وينظر: ((شرح مختصر خليل)) للخرشي (1/77-78)، ((التمهيد)) لابن عبدِ البَرِّ (1/335).، والحنابلة((الإنصاف)) للمرداوي (1/248)، ((شرح منتهى الإرادات)) للبُهوتي (1/271).، سؤرَ ما لا يَتوقَّى من النَّجاساتِ في العادة، كالفأرةِ والدَّجاجةِ المخلَّاة غيرِ المُنضبطة؛ وذلك لأنَّها لا تتحاشى النَّجاساتِ، وتفتِّشُ الجِيَف والأقذارَ، فمِنقارُها لا يخلو عن النَّجاسةِ، ...
